,cw_Very worried,cw_Somewhat worried,cw_Not very worried,cw_Not at all worried,cw_Refused,hp_A great deal,hp_A moderate amount,hp_Only a little,hp_Not at all,hp_Don’t know,hp_Refused
Romania,20.7564816473422,50.4896363735584,19.5805403678708,7.80163622915787,1.37170538207079,38.5582413548265,30.9110554567596,9.56139259545953,3.24886196927638,17.4379397972099,0.28250882646822
Saudi Arabia,32.7949476197834,29.2556286265817,18.4994984497727,16.7966334545308,2.65329184933144,24.9694965357812,21.8408247009314,18.0831894082852,12.2869302483368,20.5344761501179,2.28508295654747
Senegal,59.8518456238096,15.1606164460373,12.0526753046173,8.92924700107915,4.00561562445675,36.8230817737612,16.0800384578745,5.89154863499092,8.70157257623778,27.2025654275782,5.30119312955734
Serbia,30.9677430157013,47.9617183377734,14.3888176031459,6.20454083370368,0.47718020967572,16.6606007253656,33.3526911751916,11.106871190365,8.11592568559302,30.7230410279371,0.0408701955476759
Singapore,31.1139858465323,47.8434485331372,16.1078371559537,4.15578013234919,0.778948332027579,30.6453403822278,39.7708669821006,15.3986422549285,2.87456881446368,11.3105815662794,
Slovakia,30.1150381998673,52.0254186830933,12.6184288037334,5.07773239221726,0.163381921088764,19.4162223330644,44.152144317729,16.4125902357479,6.94880449383154,12.4069628360337,0.663275783593471
South Africa,50.2884067431122,28.1297289365858,14.2726112785514,6.65554734932344,0.653705692427128,38.7154453930285,27.4636275235071,14.7520507369566,3.66558654644088,14.5090904076615,0.894199392405403
South Korea,43.1283994639049,45.8562539477222,8.19562350760691,2.49689903710052,0.322824043665497,38.5107828753912,48.5920168442976,6.10175389095873,0.611885347834352,5.682049042197,0.501511999321135
Spain,44.0994101460369,43.3208940081548,8.22079139525727,3.99118811627906,0.36771633427199,35.5564792246704,35.8090939364587,11.8173975022965,5.29415701071153,11.4101430452444,0.112729280618406
Sri Lanka,62.3703686659504,25.7467838056482,6.48114176683813,4.8106445982805,0.591061163282752,48.2257053791834,29.9109406815219,11.2594540279101,3.35254116574167,7.25135874564292,
Sub-Saharan Africa,55.3881041724714,19.3860439305847,11.2574738243122,10.0700067257221,3.89837134690964,42.0448545414916,15.9896771958825,10.6435899528843,5.65692307731056,21.432459692153,4.23249554027804
Sweden,27.3142271209677,44.3919593072068,18.6500790674318,9.35638980585611,0.287344698537626,11.8537816559263,35.3353173459826,22.8592524935353,18.7375139726768,11.1741496742909,0.0399848575882022
Switzerland,35.0242138525728,43.6307726768084,14.5439048662044,6.80110860441447,,18.7332743476719,38.3371511131004,25.0542846869331,8.66319947672039,8.98825429244342,0.223836083130732
Taiwan,31.2940117361912,49.3059404888694,16.4360740113817,2.83093697318609,0.133036790371603,46.8162217141969,31.4791793431441,10.3326654109646,2.72110399039255,8.46245869513827,0.18837084616354
